Language_ID,Name,Glottocode,Latitude,Longitude,elevation_m
tedi1235,Tedim Chin,tedi1235,23.6079,93.519,1360.0
west2644,Western Highland Chatino,west2644,16.2495,-97.3244,1350.0
cube1242,Cubeo,cube1242,1.32382,-70.1939,198.0
cayu1262,Cayubaba,cayu1262,-13.2482,-65.4822,141.0
dang1274,Dangaleat,dang1274,12.1517,18.385,453.0
dann1241,Dan,dann1241,7.22812,-8.24535,329.0
darf1239,Dar Fur Daju,darf1239,12.2598,25.3127,609.0
daha1245,Dahalo,daha1245,-2.1843,40.37,20.0
dyir1250,Dyirbal,dyir1250,-17.4516,145.544,865.0
dier1241,Dieri,dier1241,-28.1667,138.0,19.0
nort2815,Northeastern Dinka,nort2815,9.27995,31.8392,393.0
lowe1415,Lower Grand Valley Dani,lowe1415,-4.25684,138.992,2951.0
nort2735,Northern Dong,nort2735,26.9944,109.204,506.0
doya1240,Doyayo,doya1240,8.68604,13.0768,310.0
ruka1240,Rukai,ruka1240,22.7738,120.844,1637.0
daur1238,Dagur,daur1238,48.0,124.0,169.0
toro1252,Toro So Dogon,toro1252,14.40749,-3.10006,278.0
dhuw1249,Dhuwal,dhuw1249,-12.7825,136.008,95.0
jola1263,Jola-Fonyi,jola1263,12.75752,-15.7354766667,30.0
efik1245,Efik,efik1245,4.89379,8.38121,13.0
ekar1243,Ekari,ekar1243,-3.88974,136.018,1518.0
cent2128,Central Siberian Yupik,cent2128,63.4308,-170.272,14.0
ejag1239,Ejagham,ejag1239,5.54442,8.90959,221.0
ewon1239,Ewondo,ewon1239,4.21141,11.93646,594.0
eyak1241,Eyak,eyak1241,60.4232,-144.762,13.0
fasu1242,Fasu,fasu1242,-6.62687,143.284,215.0
fiji1243,Fijian,fiji1243,-18.0,178.33,188.0
fefe1239,Fe'fe',fefe1239,5.18158,10.1442,1418.0
fuln1247,Fulniô,fuln1247,-9.02591,-37.1402,387.0
furr1244,Fur,furr1244,12.0455,23.6401,874.0
fwai1237,Fwâi,fwai1237,-20.6873,164.901,112.0
gara1269,Garrwa,gara1269,-17.4504,137.72014,203.0
gbag1258,Gbagyi,gbag1258,9.29842,6.90495,260.0
qaua1234,Central Gelao-Qau,qaua1234,26.155438,106.16455,1262.0
nana1257,Nanai,nana1257,48.4343,134.797,36.0
dawr1236,Dawro,dawr1236,6.95,37.0,1929.0
guah1255,Guahibo,guah1255,5.81736,-68.9839,90.0
guam1248,Guambiano,guam1248,2.55849,-76.582,1719.0
ache1246,Aché,ache1246,-25.5865,-56.4697,159.0
kuku1273,Kuku-Yalanji,kuku1273,-16.0036,145.188,241.0
hixk1239,Hixkaryána,hixk1239,-0.16265,-58.80153,330.0
hadz1240,Hadza,hadz1240,-3.83115,35.0458,1275.0
huas1242,Huastec,huas1242,21.6153,-98.5028,68.0
sanm1287,San Mateo del Mar Huave,sanm1287,16.2129,-95.0077,9.0
iban1264,Iban,iban1264,2.09041,112.934,110.0
izon1238,Izon,izon1238,5.17986,5.51702,8.0
ikkk1242,Ik,ikkk1242,3.61407,34.2507,1735.0
irar1238,Irarutu,irar1238,-2.94438,133.586,73.0
iran1263,Irántxe-Münkü,iran1263,-12.7178,-57.9806,407.0
isok1239,Isoko,isok1239,5.52889,6.24682,13.0
itel1242,Itelmen,itel1242,56.7798,156.906,67.0
ivat1242,Itbayat,ivat1242,20.3848,121.975,145.0
iwam1256,Iwam,iwam1256,-4.27346,141.817,24.0
popt1235,Popti',popt1235,15.6609,-91.6633,2103.0
yany1243,Yanyuwa,yany1243,-15.7621,136.055,53.0
jebe1250,Jebero,jebe1250,-5.40317,-76.4103,241.0
toll1241,Tol,toll1241,14.6686,-87.0372,772.0
japr1238,Japrería,japr1238,10.5523,-72.7101,950.0
kach1280,Southern Jinghpaw,kach1280,25.4634,97.3278,145.0
cams1241,Camsá,cams1241,1.14537,-76.8931,2374.0
gras1249,Grass Koiari,gras1249,-9.51218,147.437,767.0
kafa1242,Kafa,kafa1242,7.34022,36.1718,1729.0
dera1245,Dera (Indonesia),dera1245,-3.52309,140.947,322.0
kekc1242,Kekchí,kekc1242,15.3788,-89.2452,27.0
kera1255,Kera,kera1255,9.88165,15.1419,324.0
koya1251,Koya,koya1251,17.6772,81.2096,120.0
kain1272,Kaingang,kain1272,-27.7671,-52.5394,645.0
luuu1242,Lü,luuu1242,21.0321,101.282,1128.0
lusi1240,Lusi,lusi1240,-5.55033,149.148,55.0
kiow1266,Kiowa,kiow1266,34.9403,-98.9042,445.0
sout2949,Southern Kiwai,sout2949,-8.64889,143.244,32.0
khmu1256,Khmu,khmu1256,20.2463,101.671,971.0
west2632,Western Keres,west2632,34.9733,-107.517,1848.0
east2516,East Kewa,east2516,-6.32989,143.931,1922.0
teke1280,Teke-Kukuya,teke1280,-2.27122,14.4407,554.0
klam1254,Klamath-Modoc,klam1254,42.5861,-121.704,1299.0
klao1243,Klao,klao1243,6.87233,-10.9214,58.0
nort2641,Northern Kurdish,nort2641,37.0,43.0,701.0
dera1248,Dera (Nigeria),dera1248,10.072,12.0256,188.0
konk1267,Maharashtrian Konkani,konk1267,19.2414,73.9166,722.0
kpan1246,Kpan,kpan1246,7.58343,10.1642,134.0
koho1244,Koho,koho1244,11.6444,108.057,866.0
kory1246,Koryak,kory1246,63.8977,166.695,146.0
kups1238,Kupsabiny,kups1238,1.33197,34.5991,2693.0
kalk1246,Kalkutung,kalk1246,-21.0,139.5,268.0
juho1239,South-Eastern Ju,juho1239,-19.688,20.7673,1160.0
kuna1268,Kunama,kuna1268,14.5879,37.5292,1029.0
bord1248,Border Kuna,bord1248,7.92993,-77.1664,439.0
kwai1243,Kwaio,kwai1243,-8.93744,160.965,570.0
